iter	Passed	Remaining
0	146	146331
1	150	74966
2	155	51711
3	160	40018
4	164	32695
5	168	27968
6	171	24342
7	175	21727
8	180	19880
9	188	18648
10	191	17218
11	196	16176
12	200	15252
13	203	14363
14	207	13621
15	213	13101
16	218	12641
17	222	12114
18	225	11636
19	230	11315
20	235	10960
21	239	10648
22	242	10321
23	246	10027
24	251	9797
25	254	9547
26	258	9326
27	261	9094
28	266	8911
29	269	8729
30	273	8553
31	277	8389
32	283	8309
33	287	8174
34	290	8017
35	295	7920
36	299	7794
37	302	7662
38	306	7552
39	310	7461
40	313	7340
41	316	7223
42	319	7111
43	326	7097
44	329	7001
45	333	6912
46	336	6817
47	339	6727
48	342	6656
49	346	6583
50	349	6497
51	351	6416
52	354	6341
53	364	6376
54	407	7008
55	413	6963
56	417	6899
57	421	6840
58	425	6788
59	429	6729
60	471	7263
61	475	7190
62	490	7299
63	494	7232
64	508	7317
65	512	7249
66	516	7189
67	520	7129
68	525	7084
69	529	7032
70	545	7139
71	548	7069
72	551	6999
73	553	6930
74	557	6872
75	560	6815
76	563	6759
77	566	6700
78	569	6638
79	572	6579
80	574	6519
81	577	6464
82	579	6396
83	582	6348
84	586	6315
85	589	6264
86	591	6211
87	594	6159
88	599	6136
89	602	6092
90	605	6048
91	608	6002
92	611	5961
93	615	5936
94	620	5907
95	622	5866
96	626	5829
97	629	5794
98	633	5764
99	637	5738
100	642	5715
101	645	5686
102	650	5666
103	654	5641
104	661	5642
105	664	5606
106	667	5569
107	669	5533
108	673	5504
109	676	5475
110	679	5442
111	682	5408
112	685	5377
113	689	5361
114	693	5335
115	696	5305
116	698	5269
117	700	5238
118	703	5210
119	706	5183
120	709	5155
121	711	5123
122	714	5095
123	717	5068
124	720	5042
125	723	5015
126	725	4987
127	728	4964
128	732	4943
129	735	4920
130	737	4892
131	739	4865
132	742	4839
133	745	4815
134	748	4798
135	751	4773
136	755	4756
137	757	4733
138	760	4711
139	763	4688
140	766	4670
141	768	4644
142	771	4621
143	773	4597
144	775	4575
145	778	4550
146	780	4528
147	783	4509
148	785	4488
